OrderedDict([('biweek', '1'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '142945.9778')])
OrderedDict([('biweek', '2'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '143059.6497')])
OrderedDict([('biweek', '3'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '8'), ('pop', '143173.5646')])
OrderedDict([('biweek', '4'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '11'), ('pop', '143287.7248')])
OrderedDict([('biweek', '5'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '143402.1324')])
OrderedDict([('biweek', '6'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '15'), ('pop', '143516.7895')])
OrderedDict([('biweek', '7'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '15'), ('pop', '143631.6983')])
OrderedDict([('biweek', '8'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '9'), ('pop', '143746.8608')])
OrderedDict([('biweek', '9'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '7'), ('pop', '143862.2792')])
OrderedDict([('biweek', '10'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '5'), ('pop', '143977.9556')])
OrderedDict([('biweek', '11'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '3'), ('pop', '144093.8923')])
OrderedDict([('biweek', '12'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '11'), ('pop', '144210.0912')])
OrderedDict([('biweek', '13'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '10'), ('pop', '144326.5545')])
OrderedDict([('biweek', '14'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '8'), ('pop', '144443.2844')])
OrderedDict([('biweek', '15'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '8'), ('pop', '144560.283')])
OrderedDict([('biweek', '16'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '144677.5524')])
OrderedDict([('biweek', '17'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '144795.0948')])
OrderedDict([('biweek', '18'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '144912.9123')])
OrderedDict([('biweek', '19'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '145031.0069')])
OrderedDict([('biweek', '20'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '145149.381')])
OrderedDict([('biweek', '21'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '145268.0365')])
OrderedDict([('biweek', '22'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '145386.9756')])
OrderedDict([('biweek', '23'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '145506.2005')])
OrderedDict([('biweek', '24'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '145625.7132')])
OrderedDict([('biweek', '25'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '10'), ('pop', '145745.516')])
OrderedDict([('biweek', '26'), ('year', '1909'), ('loc', 'WORCESTER'), ('cases', '3'), ('pop', '145865.6108')])
OrderedDict([('biweek', '1'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '7'), ('pop', '145986')])
OrderedDict([('biweek', '2'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '46'), ('pop', '146106.6848')])
OrderedDict([('biweek', '3'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '27'), ('pop', '146227.6634')])
OrderedDict([('biweek', '4'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '21'), ('pop', '146348.9332')])
OrderedDict([('biweek', '5'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '29'), ('pop', '146470.4916')])
OrderedDict([('biweek', '6'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '33'), ('pop', '146592.336')])
OrderedDict([('biweek', '7'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '46'), ('pop', '146714.464')])
OrderedDict([('biweek', '8'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '50'), ('pop', '146836.8727')])
OrderedDict([('biweek', '9'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '51'), ('pop', '146959.5598')])
OrderedDict([('biweek', '10'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '63'), ('pop', '147082.5225')])
OrderedDict([('biweek', '11'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '42'), ('pop', '147205.7582')])
OrderedDict([('biweek', '12'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '69'), ('pop', '147329.2645')])
OrderedDict([('biweek', '13'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '43'), ('pop', '147453.0387')])
OrderedDict([('biweek', '14'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '14'), ('pop', '147577.0782')])
OrderedDict([('biweek', '15'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '14'), ('pop', '147701.3804')])
OrderedDict([('biweek', '16'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '7'), ('pop', '147825.9427')])
OrderedDict([('biweek', '17'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '147950.7626')])
OrderedDict([('biweek', '18'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148075.8374')])
OrderedDict([('biweek', '19'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148201.1646')])
OrderedDict([('biweek', '20'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148326.7415')])
OrderedDict([('biweek', '21'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148452.5656')])
OrderedDict([('biweek', '22'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148578.6343')])
