OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '2'), ('pop', '144842.8519')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '2'), ('pop', '144921.1108')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', 'NA'), ('pop', '144998.4443')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '6'), ('pop', '145074.8565')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', 'NA'), ('pop', '145150.3518')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '8'), ('pop', '145224.9345')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '10'), ('pop', '145298.6088')])
OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '2'), ('pop', '145371.3791')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '4'), ('pop', '145443.2495')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', 'NA'), ('pop', '145514.2245')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '2'), ('pop', '145584.3081')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '62'), ('pop', '506775')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '64'), ('pop', '507104.9923')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '102'), ('pop', '507434.8857')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '129'), ('pop', '507764.6747')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '126'), ('pop', '508094.3535')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '508423.9167')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '508753.3587')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '509082.6738')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '509411.8566')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '509740.9013')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '610'), ('pop', '510069.8025')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '536'), ('pop', '510398.5546')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '510727.1519')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '4'), ('pop', '511055.5888')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', 'NA'), ('pop', '511383.8599')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '34'), ('pop', '511711.9595')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '16'), ('pop', '512039.882')])
